CTY,CTY_NAME,ST,,
001,Adams,WA,,
003,Asotin,WA,,
005,Benton,WA,,
007,Chelan,WA,,
009,Clallam,WA,,
011,Clark,WA,,
013,Columbia,WA,,
015,Cowlitz,WA,,
017,Douglas,WA,,
019,Ferry,WA,,
021,Franklin,WA,,
023,Garfield,WA,,
025,Grant,WA,,
027,Grays Harbor,WA,,
029,Island,WA,,
031,Jefferson,WA,,
033,King,WA,,
035,Kitsap,WA,,
037,Kittitas,WA,,
039,Klickitat,WA,,
041,Lewis,WA,,
043,Lincoln,WA,,
045,Mason,WA,,
047,Okanogan,WA,,
049,Pacific,WA,,
051,Pend Oreille,WA,,
053,Pierce,WA,,
055,San Juan,WA,,
057,Skagit,WA,,
059,Skamania,WA,,
061,Snohomish,WA,,
063,Spokane,WA,,
065,Stevens,WA,,
067,Thurston,WA,,
069,Wahkiakum,WA,,
071,Walla Walla,WA,,
073,Whatcom,WA,,
075,Whitman,WA,,
077,Yakima,WA,,